17964 (out of 15920737) words in dict
14957666 training, 963071 testing
1541820 restaurants created
6032.09kB of test data
ITER  63: d0 = 0.642; d1 = 0.763; d2 = 0.871; PPLX 2^6.84 = 114.5
ITER  64: d0 = 0.544; d1 = 0.771; d2 = 0.877; PPLX 2^6.84 = 114.6
ITER  65: d0 = 0.539; d1 = 0.762; d2 = 0.870; PPLX 2^6.84 = 114.5
ITER  66: d0 = 0.556; d1 = 0.761; d2 = 0.881; PPLX 2^6.84 = 114.6
ITER  67: d0 = 0.545; d1 = 0.741; d2 = 0.874; PPLX 2^6.84 = 114.4
ITER  68: d0 = 0.695; d1 = 0.749; d2 = 0.865; PPLX 2^6.84 = 114.3
ITER  69: d0 = 0.652; d1 = 0.750; d2 = 0.876; PPLX 2^6.84 = 114.4
ITER  70: d0 = 0.685; d1 = 0.777; d2 = 0.878; PPLX 2^6.84 = 114.6
ITER  71: d0 = 0.570; d1 = 0.780; d2 = 0.881; PPLX 2^6.84 = 114.8
ITER  72: d0 = 0.633; d1 = 0.754; d2 = 0.882; PPLX 2^6.84 = 114.6
ITER  73: d0 = 0.541; d1 = 0.723; d2 = 0.870; PPLX 2^6.84 = 114.3
ITER  74: d0 = 0.614; d1 = 0.781; d2 = 0.883; PPLX 2^6.84 = 114.8
ITER  75: d0 = 0.533; d1 = 0.773; d2 = 0.880; PPLX 2^6.84 = 114.7
ITER  76: d0 = 0.550; d1 = 0.783; d2 = 0.883; PPLX 2^6.84 = 114.8
ITER  77: d0 = 0.517; d1 = 0.753; d2 = 0.875; PPLX 2^6.84 = 114.4
ITER  78: d0 = 0.520; d1 = 0.753; d2 = 0.878; PPLX 2^6.84 = 114.5
ITER  79: d0 = 0.552; d1 = 0.766; d2 = 0.878; PPLX 2^6.84 = 114.6
ITER  80: d0 = 0.554; d1 = 0.745; d2 = 0.873; PPLX 2^6.84 = 114.4
ITER  81: d0 = 0.583; d1 = 0.760; d2 = 0.878; PPLX 2^6.84 = 114.5
ITER  82: d0 = 0.614; d1 = 0.758; d2 = 0.871; PPLX 2^6.84 = 114.4
ITER  83: d0 = 0.557; d1 = 0.758; d2 = 0.862; PPLX 2^6.84 = 114.3
ITER  84: d0 = 0.625; d1 = 0.748; d2 = 0.868; PPLX 2^6.84 = 114.4
ITER  85: d0 = 0.576; d1 = 0.759; d2 = 0.871; PPLX 2^6.84 = 114.5
ITER  86: d0 = 0.600; d1 = 0.760; d2 = 0.874; PPLX 2^6.84 = 114.4
ITER  87: d0 = 0.562; d1 = 0.773; d2 = 0.875; PPLX 2^6.84 = 114.6
ITER  88: d0 = 0.564; d1 = 0.762; d2 = 0.878; PPLX 2^6.84 = 114.5
ITER  89: d0 = 0.588; d1 = 0.737; d2 = 0.867; PPLX 2^6.84 = 114.2
ITER  90: d0 = 0.545; d1 = 0.754; d2 = 0.875; PPLX 2^6.84 = 114.5
ITER  91: d0 = 0.675; d1 = 0.751; d2 = 0.881; PPLX 2^6.84 = 114.6
ITER  92: d0 = 0.628; d1 = 0.743; d2 = 0.879; PPLX 2^6.84 = 114.5
ITER  93: d0 = 0.579; d1 = 0.752; d2 = 0.876; PPLX 2^6.84 = 114.5
ITER  94: d0 = 0.553; d1 = 0.783; d2 = 0.876; PPLX 2^6.84 = 114.7
ITER  95: d0 = 0.575; d1 = 0.758; d2 = 0.881; PPLX 2^6.84 = 114.6
ITER  96: d0 = 0.541; d1 = 0.787; d2 = 0.877; PPLX 2^6.84 = 114.7
ITER  97: d0 = 0.620; d1 = 0.770; d2 = 0.879; PPLX 2^6.84 = 114.6
ITER  98: d0 = 0.582; d1 = 0.786; d2 = 0.876; PPLX 2^6.84 = 114.7
ITER  99: d0 = 0.588; d1 = 0.745; d2 = 0.878; PPLX 2^6.84 = 114.5
ITER 100: d0 = 0.582; d1 = 0.770; d2 = 0.867; PPLX 2^6.84 = 114.5
ITER 101: d0 = 0.558; d1 = 0.778; d2 = 0.866; PPLX 2^6.84 = 114.5
ITER 102: d0 = 0.549; d1 = 0.751; d2 = 0.884; PPLX 2^6.84 = 114.6
ITER 103: d0 = 0.513; d1 = 0.762; d2 = 0.876; PPLX 2^6.84 = 114.6
ITER 104: d0 = 0.676; d1 = 0.771; d2 = 0.874; PPLX 2^6.84 = 114.6
ITER 105: d0 = 0.547; d1 = 0.772; d2 = 0.882; PPLX 2^6.84 = 114.7
ITER 106: d0 = 0.530; d1 = 0.764; d2 = 0.863; PPLX 2^6.84 = 114.4
ITER 107: d0 = 0.615; d1 = 0.745; d2 = 0.870; PPLX 2^6.84 = 114.3
ITER 108: d0 = 0.516; d1 = 0.773; d2 = 0.882; PPLX 2^6.84 = 114.7
ITER 109: d0 = 0.571; d1 = 0.783; d2 = 0.883; PPLX 2^6.84 = 114.8
ITER 110: d0 = 0.538; d1 = 0.765; d2 = 0.876; PPLX 2^6.84 = 114.6
ITER 111: d0 = 0.552; d1 = 0.752; d2 = 0.875; PPLX 2^6.84 = 114.4
ITER 112: d0 = 0.542; d1 = 0.776; d2 = 0.870; PPLX 2^6.84 = 114.5
ITER 113: d0 = 0.610; d1 = 0.752; d2 = 0.880; PPLX 2^6.84 = 114.6
ITER 114: d0 = 0.548; d1 = 0.769; d2 = 0.875; PPLX 2^6.84 = 114.6
ITER 115: d0 = 0.556; d1 = 0.754; d2 = 0.864; PPLX 2^6.84 = 114.3
ITER 116: d0 = 0.523; d1 = 0.764; d2 = 0.878; PPLX 2^6.84 = 114.6
ITER 117: d0 = 0.565; d1 = 0.769; d2 = 0.880; PPLX 2^6.84 = 114.7
ITER 118: d0 = 0.677; d1 = 0.750; d2 = 0.879; PPLX 2^6.84 = 114.5
ITER 119: d0 = 0.614; d1 = 0.769; d2 = 0.878; PPLX 2^6.84 = 114.6
ITER 120: d0 = 0.537; d1 = 0.769; d2 = 0.869; PPLX 2^6.84 = 114.5
ITER 121: d0 = 0.597; d1 = 0.746; d2 = 0.864; PPLX 2^6.84 = 114.3
ITER 122: d0 = 0.541; d1 = 0.747; d2 = 0.871; PPLX 2^6.84 = 114.4
ITER 123: d0 = 0.546; d1 = 0.752; d2 = 0.867; PPLX 2^6.84 = 114.3
ITER 124: d0 = 0.555; d1 = 0.770; d2 = 0.872; PPLX 2^6.84 = 114.5
ITER 125: d0 = 0.537; d1 = 0.750; d2 = 0.876; PPLX 2^6.84 = 114.4
ITER 126: d0 = 0.566; d1 = 0.773; d2 = 0.885; PPLX 2^6.84 = 114.7
ITER 127: d0 = 0.523; d1 = 0.764; d2 = 0.870; PPLX 2^6.84 = 114.5
ITER 128: d0 = 0.553; d1 = 0.759; d2 = 0.884; PPLX 2^6.84 = 114.7
ITER 129: d0 = 0.541; d1 = 0.776; d2 = 0.881; PPLX 2^6.84 = 114.7
ITER 130: d0 = 0.540; d1 = 0.779; d2 = 0.875; PPLX 2^6.84 = 114.6
ITER 131: d0 = 0.640; d1 = 0.757; d2 = 0.874; PPLX 2^6.84 = 114.4
ITER 132: d0 = 0.593; d1 = 0.773; d2 = 0.873; PPLX 2^6.84 = 114.5
ITER 133: d0 = 0.623; d1 = 0.771; d2 = 0.878; PPLX 2^6.84 = 114.6
ITER 134: d0 = 0.590; d1 = 0.763; d2 = 0.863; PPLX 2^6.84 = 114.4
ITER 135: d0 = 0.652; d1 = 0.788; d2 = 0.870; PPLX 2^6.84 = 114.6
ITER 136: d0 = 0.618; d1 = 0.774; d2 = 0.874; PPLX 2^6.84 = 114.6
ITER 137: d0 = 0.628; d1 = 0.765; d2 = 0.875; PPLX 2^6.84 = 114.5
ITER 138: d0 = 0.669; d1 = 0.760; d2 = 0.882; PPLX 2^6.84 = 114.6
ITER 139: d0 = 0.571; d1 = 0.764; d2 = 0.879; PPLX 2^6.84 = 114.6
ITER 140: d0 = 0.622; d1 = 0.772; d2 = 0.862; PPLX 2^6.84 = 114.4
ITER 141: d0 = 0.547; d1 = 0.754; d2 = 0.885; PPLX 2^6.84 = 114.6
ITER 142: d0 = 0.615; d1 = 0.755; d2 = 0.880; PPLX 2^6.84 = 114.6
ITER 143: d0 = 0.633; d1 = 0.760; d2 = 0.874; PPLX 2^6.84 = 114.5
ITER 144: d0 = 0.603; d1 = 0.767; d2 = 0.875; PPLX 2^6.84 = 114.5
ITER 145: d0 = 0.521; d1 = 0.756; d2 = 0.875; PPLX 2^6.84 = 114.4
ITER 146: d0 = 0.523; d1 = 0.771; d2 = 0.882; PPLX 2^6.84 = 114.6
ITER 147: d0 = 0.516; d1 = 0.747; d2 = 0.881; PPLX 2^6.84 = 114.5
ITER 148: d0 = 0.573; d1 = 0.780; d2 = 0.870; PPLX 2^6.84 = 114.6
ITER 149: d0 = 0.633; d1 = 0.771; d2 = 0.875; PPLX 2^6.84 = 114.6
ITER 150: d0 = 0.565; d1 = 0.759; d2 = 0.880; PPLX 2^6.84 = 114.5
ITER 151: d0 = 0.622; d1 = 0.761; d2 = 0.881; PPLX 2^6.84 = 114.6
ITER 152: d0 = 0.541; d1 = 0.770; d2 = 0.874; PPLX 2^6.84 = 114.5
ITER 153: d0 = 0.608; d1 = 0.744; d2 = 0.877; PPLX 2^6.84 = 114.5
ITER 154: d0 = 0.588; d1 = 0.763; d2 = 0.879; PPLX 2^6.84 = 114.5
ITER 155: d0 = 0.566; d1 = 0.745; d2 = 0.862; PPLX 2^6.84 = 114.2
ITER 156: d0 = 0.527; d1 = 0.790; d2 = 0.877; PPLX 2^6.84 = 114.7
