1161192 dom0, 360634 dom1 train, 39534 dom1 test
58715 unique words

*** BASELINE hpylm ***
136395 restaurants created
204.452kB of test data
ITER  62: d0 = 0.697; d1 = 0.846; d2 = 0.893; PPLX 2^7.55 = 187.9
ITER  63: d0 = 0.695; d1 = 0.841; d2 = 0.888; PPLX 2^7.55 = 188.0
ITER  64: d0 = 0.671; d1 = 0.835; d2 = 0.895; PPLX 2^7.55 = 187.4
ITER  65: d0 = 0.594; d1 = 0.821; d2 = 0.883; PPLX 2^7.55 = 186.9
ITER  66: d0 = 0.641; d1 = 0.849; d2 = 0.889; PPLX 2^7.55 = 187.6
ITER  67: d0 = 0.600; d1 = 0.832; d2 = 0.906; PPLX 2^7.55 = 187.5
ITER  68: d0 = 0.667; d1 = 0.821; d2 = 0.896; PPLX 2^7.55 = 187.1
ITER  69: d0 = 0.616; d1 = 0.805; d2 = 0.882; PPLX 2^7.54 = 186.3
ITER  70: d0 = 0.726; d1 = 0.816; d2 = 0.886; PPLX 2^7.55 = 186.9
ITER  71: d0 = 0.608; d1 = 0.849; d2 = 0.876; PPLX 2^7.55 = 188.0
ITER  72: d0 = 0.727; d1 = 0.835; d2 = 0.896; PPLX 2^7.55 = 187.6
ITER  73: d0 = 0.640; d1 = 0.835; d2 = 0.892; PPLX 2^7.55 = 187.6
ITER  74: d0 = 0.736; d1 = 0.820; d2 = 0.889; PPLX 2^7.55 = 187.2
ITER  75: d0 = 0.717; d1 = 0.843; d2 = 0.881; PPLX 2^7.55 = 187.5
ITER  76: d0 = 0.647; d1 = 0.805; d2 = 0.897; PPLX 2^7.54 = 186.2
ITER  77: d0 = 0.651; d1 = 0.844; d2 = 0.880; PPLX 2^7.55 = 188.0
ITER  78: d0 = 0.725; d1 = 0.798; d2 = 0.879; PPLX 2^7.54 = 185.9
ITER  79: d0 = 0.638; d1 = 0.821; d2 = 0.877; PPLX 2^7.55 = 186.8
ITER  80: d0 = 0.736; d1 = 0.846; d2 = 0.885; PPLX 2^7.56 = 188.2
ITER  81: d0 = 0.711; d1 = 0.805; d2 = 0.888; PPLX 2^7.54 = 186.6
ITER  82: d0 = 0.671; d1 = 0.801; d2 = 0.894; PPLX 2^7.54 = 186.4
ITER  83: d0 = 0.656; d1 = 0.805; d2 = 0.882; PPLX 2^7.54 = 186.3
ITER  84: d0 = 0.632; d1 = 0.791; d2 = 0.881; PPLX 2^7.53 = 185.4
ITER  85: d0 = 0.734; d1 = 0.837; d2 = 0.885; PPLX 2^7.56 = 188.1
ITER  86: d0 = 0.630; d1 = 0.806; d2 = 0.874; PPLX 2^7.54 = 186.4
ITER  87: d0 = 0.629; d1 = 0.808; d2 = 0.876; PPLX 2^7.54 = 186.4
ITER  88: d0 = 0.603; d1 = 0.847; d2 = 0.898; PPLX 2^7.55 = 187.5
ITER  89: d0 = 0.625; d1 = 0.806; d2 = 0.880; PPLX 2^7.54 = 186.1
ITER  90: d0 = 0.660; d1 = 0.817; d2 = 0.878; PPLX 2^7.54 = 185.9
ITER  91: d0 = 0.583; d1 = 0.795; d2 = 0.875; PPLX 2^7.53 = 185.3
ITER  92: d0 = 0.594; d1 = 0.829; d2 = 0.881; PPLX 2^7.55 = 186.9
ITER  93: d0 = 0.620; d1 = 0.835; d2 = 0.899; PPLX 2^7.55 = 187.4
ITER  94: d0 = 0.709; d1 = 0.810; d2 = 0.890; PPLX 2^7.54 = 186.7
ITER  95: d0 = 0.584; d1 = 0.816; d2 = 0.883; PPLX 2^7.54 = 186.5
ITER  96: d0 = 0.616; d1 = 0.828; d2 = 0.880; PPLX 2^7.54 = 186.6
ITER  97: d0 = 0.609; d1 = 0.788; d2 = 0.886; PPLX 2^7.54 = 185.6
ITER  98: d0 = 0.722; d1 = 0.840; d2 = 0.884; PPLX 2^7.55 = 187.9
ITER  99: d0 = 0.586; d1 = 0.844; d2 = 0.892; PPLX 2^7.55 = 187.1

SUMMARY
