17964 (out of 15920737) words in dict
14957666 training, 963071 testing
1541820 restaurants created
6032.09kB of test data
ITER  63: d0 = 0.299; d1 = 0.657; d2 = 0.680; PPLX 2^6.89 = 118.5
ITER  64: d0 = 0.471; d1 = 0.667; d2 = 0.694; PPLX 2^6.88 = 118.1
ITER  65: d0 = 0.323; d1 = 0.681; d2 = 0.686; PPLX 2^6.89 = 118.3
ITER  66: d0 = 0.328; d1 = 0.662; d2 = 0.672; PPLX 2^6.89 = 118.7
ITER  67: d0 = 0.311; d1 = 0.699; d2 = 0.663; PPLX 2^6.89 = 118.9
ITER  68: d0 = 0.276; d1 = 0.641; d2 = 0.670; PPLX 2^6.89 = 118.8
ITER  69: d0 = 0.279; d1 = 0.642; d2 = 0.659; PPLX 2^6.90 = 119.1
ITER  70: d0 = 0.395; d1 = 0.658; d2 = 0.683; PPLX 2^6.89 = 118.4
ITER  71: d0 = 0.321; d1 = 0.643; d2 = 0.669; PPLX 2^6.89 = 118.8
ITER  72: d0 = 0.343; d1 = 0.657; d2 = 0.678; PPLX 2^6.89 = 118.5
ITER  73: d0 = 0.503; d1 = 0.688; d2 = 0.674; PPLX 2^6.89 = 118.5
ITER  74: d0 = 0.515; d1 = 0.667; d2 = 0.673; PPLX 2^6.89 = 118.6
ITER  75: d0 = 0.283; d1 = 0.675; d2 = 0.678; PPLX 2^6.89 = 118.5
ITER  76: d0 = 0.476; d1 = 0.678; d2 = 0.654; PPLX 2^6.90 = 119.2
ITER  77: d0 = 0.320; d1 = 0.680; d2 = 0.688; PPLX 2^6.89 = 118.2
ITER  78: d0 = 0.281; d1 = 0.662; d2 = 0.686; PPLX 2^6.89 = 118.3
ITER  79: d0 = 0.476; d1 = 0.691; d2 = 0.682; PPLX 2^6.89 = 118.3
ITER  80: d0 = 0.521; d1 = 0.643; d2 = 0.655; PPLX 2^6.90 = 119.3
ITER  81: d0 = 0.388; d1 = 0.667; d2 = 0.676; PPLX 2^6.89 = 118.6
ITER  82: d0 = 0.374; d1 = 0.690; d2 = 0.689; PPLX 2^6.89 = 118.2
ITER  83: d0 = 0.422; d1 = 0.665; d2 = 0.682; PPLX 2^6.89 = 118.4
ITER  84: d0 = 0.379; d1 = 0.689; d2 = 0.654; PPLX 2^6.90 = 119.2
ITER  85: d0 = 0.266; d1 = 0.664; d2 = 0.664; PPLX 2^6.89 = 118.9
ITER  86: d0 = 0.295; d1 = 0.681; d2 = 0.672; PPLX 2^6.89 = 118.7
ITER  87: d0 = 0.323; d1 = 0.658; d2 = 0.696; PPLX 2^6.88 = 118.0
ITER  88: d0 = 0.274; d1 = 0.658; d2 = 0.686; PPLX 2^6.89 = 118.3
ITER  89: d0 = 0.495; d1 = 0.679; d2 = 0.701; PPLX 2^6.88 = 117.9
ITER  90: d0 = 0.270; d1 = 0.667; d2 = 0.657; PPLX 2^6.90 = 119.1
ITER  91: d0 = 0.393; d1 = 0.649; d2 = 0.690; PPLX 2^6.89 = 118.2
ITER  92: d0 = 0.346; d1 = 0.669; d2 = 0.684; PPLX 2^6.89 = 118.3
ITER  93: d0 = 0.400; d1 = 0.651; d2 = 0.669; PPLX 2^6.89 = 118.8
ITER  94: d0 = 0.335; d1 = 0.675; d2 = 0.656; PPLX 2^6.90 = 119.2
ITER  95: d0 = 0.352; d1 = 0.667; d2 = 0.685; PPLX 2^6.89 = 118.3
ITER  96: d0 = 0.330; d1 = 0.687; d2 = 0.679; PPLX 2^6.89 = 118.4
ITER  97: d0 = 0.327; d1 = 0.683; d2 = 0.685; PPLX 2^6.89 = 118.3
ITER  98: d0 = 0.353; d1 = 0.670; d2 = 0.661; PPLX 2^6.89 = 119.0
ITER  99: d0 = 0.286; d1 = 0.636; d2 = 0.671; PPLX 2^6.89 = 118.8
ITER 100: d0 = 0.477; d1 = 0.664; d2 = 0.671; PPLX 2^6.89 = 118.7
ITER 101: d0 = 0.326; d1 = 0.659; d2 = 0.681; PPLX 2^6.89 = 118.5
ITER 102: d0 = 0.284; d1 = 0.648; d2 = 0.671; PPLX 2^6.89 = 118.8
ITER 103: d0 = 0.301; d1 = 0.643; d2 = 0.672; PPLX 2^6.89 = 118.8
ITER 104: d0 = 0.524; d1 = 0.655; d2 = 0.699; PPLX 2^6.88 = 118.0
ITER 105: d0 = 0.314; d1 = 0.635; d2 = 0.695; PPLX 2^6.88 = 118.2
ITER 106: d0 = 0.290; d1 = 0.681; d2 = 0.691; PPLX 2^6.88 = 118.1
ITER 107: d0 = 0.439; d1 = 0.641; d2 = 0.669; PPLX 2^6.89 = 118.9
ITER 108: d0 = 0.473; d1 = 0.669; d2 = 0.666; PPLX 2^6.89 = 118.9
ITER 109: d0 = 0.499; d1 = 0.690; d2 = 0.656; PPLX 2^6.90 = 119.1
ITER 110: d0 = 0.351; d1 = 0.664; d2 = 0.662; PPLX 2^6.89 = 119.0
ITER 111: d0 = 0.317; d1 = 0.650; d2 = 0.697; PPLX 2^6.88 = 118.0
ITER 112: d0 = 0.360; d1 = 0.686; d2 = 0.666; PPLX 2^6.89 = 118.8
ITER 113: d0 = 0.286; d1 = 0.669; d2 = 0.683; PPLX 2^6.89 = 118.4
ITER 114: d0 = 0.307; d1 = 0.647; d2 = 0.673; PPLX 2^6.89 = 118.7
ITER 115: d0 = 0.284; d1 = 0.652; d2 = 0.683; PPLX 2^6.89 = 118.4
ITER 116: d0 = 0.421; d1 = 0.655; d2 = 0.692; PPLX 2^6.88 = 118.2
ITER 117: d0 = 0.366; d1 = 0.655; d2 = 0.666; PPLX 2^6.89 = 118.9
ITER 118: d0 = 0.276; d1 = 0.641; d2 = 0.693; PPLX 2^6.88 = 118.2
ITER 119: d0 = 0.455; d1 = 0.695; d2 = 0.689; PPLX 2^6.88 = 118.2
ITER 120: d0 = 0.270; d1 = 0.633; d2 = 0.686; PPLX 2^6.89 = 118.4
ITER 121: d0 = 0.338; d1 = 0.661; d2 = 0.676; PPLX 2^6.89 = 118.6
ITER 122: d0 = 0.358; d1 = 0.633; d2 = 0.695; PPLX 2^6.88 = 118.2
ITER 123: d0 = 0.366; d1 = 0.671; d2 = 0.668; PPLX 2^6.89 = 118.8
ITER 124: d0 = 0.284; d1 = 0.678; d2 = 0.688; PPLX 2^6.89 = 118.2
ITER 125: d0 = 0.371; d1 = 0.672; d2 = 0.685; PPLX 2^6.89 = 118.3
ITER 126: d0 = 0.301; d1 = 0.643; d2 = 0.666; PPLX 2^6.89 = 118.9
ITER 127: d0 = 0.413; d1 = 0.675; d2 = 0.678; PPLX 2^6.89 = 118.5
ITER 128: d0 = 0.409; d1 = 0.660; d2 = 0.675; PPLX 2^6.89 = 118.6
ITER 129: d0 = 0.520; d1 = 0.702; d2 = 0.683; PPLX 2^6.89 = 118.3
ITER 130: d0 = 0.279; d1 = 0.689; d2 = 0.678; PPLX 2^6.89 = 118.5
ITER 131: d0 = 0.277; d1 = 0.672; d2 = 0.699; PPLX 2^6.88 = 117.9
ITER 132: d0 = 0.330; d1 = 0.662; d2 = 0.690; PPLX 2^6.88 = 118.2
ITER 133: d0 = 0.333; d1 = 0.675; d2 = 0.671; PPLX 2^6.89 = 118.7
ITER 134: d0 = 0.342; d1 = 0.642; d2 = 0.658; PPLX 2^6.90 = 119.2
ITER 135: d0 = 0.299; d1 = 0.684; d2 = 0.685; PPLX 2^6.89 = 118.3
ITER 136: d0 = 0.438; d1 = 0.682; d2 = 0.670; PPLX 2^6.89 = 118.7
ITER 137: d0 = 0.423; d1 = 0.661; d2 = 0.670; PPLX 2^6.89 = 118.8
ITER 138: d0 = 0.267; d1 = 0.680; d2 = 0.664; PPLX 2^6.89 = 118.9
ITER 139: d0 = 0.320; d1 = 0.658; d2 = 0.658; PPLX 2^6.90 = 119.1
ITER 140: d0 = 0.360; d1 = 0.656; d2 = 0.659; PPLX 2^6.90 = 119.1
ITER 141: d0 = 0.341; d1 = 0.660; d2 = 0.659; PPLX 2^6.90 = 119.1
ITER 142: d0 = 0.291; d1 = 0.710; d2 = 0.697; PPLX 2^6.88 = 117.9
ITER 143: d0 = 0.281; d1 = 0.695; d2 = 0.690; PPLX 2^6.88 = 118.1
ITER 144: d0 = 0.292; d1 = 0.656; d2 = 0.686; PPLX 2^6.89 = 118.3
ITER 145: d0 = 0.377; d1 = 0.661; d2 = 0.681; PPLX 2^6.89 = 118.4
ITER 146: d0 = 0.363; d1 = 0.672; d2 = 0.696; PPLX 2^6.88 = 118.0
ITER 147: d0 = 0.308; d1 = 0.661; d2 = 0.699; PPLX 2^6.88 = 118.0
ITER 148: d0 = 0.270; d1 = 0.636; d2 = 0.678; PPLX 2^6.89 = 118.6
ITER 149: d0 = 0.316; d1 = 0.633; d2 = 0.672; PPLX 2^6.89 = 118.8
ITER 150: d0 = 0.443; d1 = 0.666; d2 = 0.682; PPLX 2^6.89 = 118.4
ITER 151: d0 = 0.351; d1 = 0.664; d2 = 0.684; PPLX 2^6.89 = 118.4
ITER 152: d0 = 0.348; d1 = 0.679; d2 = 0.683; PPLX 2^6.89 = 118.4
ITER 153: d0 = 0.346; d1 = 0.676; d2 = 0.688; PPLX 2^6.89 = 118.2
ITER 154: d0 = 0.341; d1 = 0.658; d2 = 0.709; PPLX 2^6.88 = 117.7
ITER 155: d0 = 0.358; d1 = 0.687; d2 = 0.653; PPLX 2^6.90 = 119.2
ITER 156: d0 = 0.354; d1 = 0.672; d2 = 0.673; PPLX 2^6.89 = 118.6
ITER 157: d0 = 0.354; d1 = 0.698; d2 = 0.688; PPLX 2^6.88 = 118.2
ITER 158: d0 = 0.307; d1 = 0.653; d2 = 0.690; PPLX 2^6.89 = 118.2
ITER 159: d0 = 0.430; d1 = 0.667; d2 = 0.664; PPLX 2^6.89 = 118.9
ITER 160: d0 = 0.328; d1 = 0.681; d2 = 0.681; PPLX 2^6.89 = 118.4
ITER 161: d0 = 0.310; d1 = 0.658; d2 = 0.674; PPLX 2^6.89 = 118.6
ITER 162: d0 = 0.283; d1 = 0.666; d2 = 0.671; PPLX 2^6.89 = 118.7
ITER 163: d0 = 0.308; d1 = 0.634; d2 = 0.687; PPLX 2^6.89 = 118.3
ITER 164: d0 = 0.357; d1 = 0.689; d2 = 0.686; PPLX 2^6.89 = 118.2
ITER 165: d0 = 0.333; d1 = 0.633; d2 = 0.693; PPLX 2^6.88 = 118.2
ITER 166: d0 = 0.297; d1 = 0.663; d2 = 0.675; PPLX 2^6.89 = 118.6
ITER 167: d0 = 0.300; d1 = 0.659; d2 = 0.681; PPLX 2^6.89 = 118.5
