14502 (out of 400168) words in dict
360634 training, 39534 testing
136394 restaurants created
204.452kB of test data
ITER  63: d0 = 0.647; d1 = 0.824; d2 = 0.898; PPLX 2^7.48 = 178.0
ITER  64: d0 = 0.651; d1 = 0.824; d2 = 0.897; PPLX 2^7.47 = 177.8
ITER  65: d0 = 0.689; d1 = 0.784; d2 = 0.884; PPLX 2^7.46 = 176.3
ITER  66: d0 = 0.632; d1 = 0.815; d2 = 0.908; PPLX 2^7.47 = 177.1
ITER  67: d0 = 0.753; d1 = 0.811; d2 = 0.890; PPLX 2^7.47 = 176.7
ITER  68: d0 = 0.674; d1 = 0.803; d2 = 0.889; PPLX 2^7.46 = 176.6
ITER  69: d0 = 0.637; d1 = 0.799; d2 = 0.881; PPLX 2^7.46 = 176.5
ITER  70: d0 = 0.741; d1 = 0.794; d2 = 0.880; PPLX 2^7.46 = 176.5
ITER  71: d0 = 0.645; d1 = 0.786; d2 = 0.879; PPLX 2^7.46 = 176.2
ITER  72: d0 = 0.729; d1 = 0.834; d2 = 0.885; PPLX 2^7.47 = 177.6
ITER  73: d0 = 0.742; d1 = 0.816; d2 = 0.881; PPLX 2^7.47 = 177.0
ITER  74: d0 = 0.685; d1 = 0.838; d2 = 0.883; PPLX 2^7.48 = 177.9
ITER  75: d0 = 0.751; d1 = 0.796; d2 = 0.896; PPLX 2^7.46 = 176.4
ITER  76: d0 = 0.662; d1 = 0.810; d2 = 0.889; PPLX 2^7.47 = 176.9
ITER  77: d0 = 0.664; d1 = 0.802; d2 = 0.895; PPLX 2^7.47 = 176.9
ITER  78: d0 = 0.667; d1 = 0.800; d2 = 0.910; PPLX 2^7.46 = 176.7
ITER  79: d0 = 0.665; d1 = 0.849; d2 = 0.905; PPLX 2^7.48 = 178.6
ITER  80: d0 = 0.679; d1 = 0.784; d2 = 0.896; PPLX 2^7.46 = 176.0
ITER  81: d0 = 0.640; d1 = 0.808; d2 = 0.897; PPLX 2^7.47 = 177.7
ITER  82: d0 = 0.661; d1 = 0.838; d2 = 0.900; PPLX 2^7.47 = 177.9
ITER  83: d0 = 0.683; d1 = 0.806; d2 = 0.890; PPLX 2^7.47 = 176.8
ITER  84: d0 = 0.656; d1 = 0.820; d2 = 0.895; PPLX 2^7.47 = 177.2
ITER  85: d0 = 0.665; d1 = 0.816; d2 = 0.887; PPLX 2^7.47 = 177.2
ITER  86: d0 = 0.730; d1 = 0.784; d2 = 0.879; PPLX 2^7.46 = 175.6
ITER  87: d0 = 0.640; d1 = 0.804; d2 = 0.881; PPLX 2^7.47 = 176.7
ITER  88: d0 = 0.713; d1 = 0.832; d2 = 0.883; PPLX 2^7.47 = 177.2
ITER  89: d0 = 0.707; d1 = 0.841; d2 = 0.890; PPLX 2^7.47 = 177.6
ITER  90: d0 = 0.642; d1 = 0.784; d2 = 0.895; PPLX 2^7.46 = 176.2
ITER  91: d0 = 0.704; d1 = 0.800; d2 = 0.881; PPLX 2^7.46 = 176.6
ITER  92: d0 = 0.636; d1 = 0.817; d2 = 0.908; PPLX 2^7.47 = 177.4
ITER  93: d0 = 0.713; d1 = 0.786; d2 = 0.898; PPLX 2^7.46 = 176.5
ITER  94: d0 = 0.663; d1 = 0.810; d2 = 0.903; PPLX 2^7.47 = 177.3
ITER  95: d0 = 0.665; d1 = 0.810; d2 = 0.893; PPLX 2^7.47 = 177.0
ITER  96: d0 = 0.680; d1 = 0.788; d2 = 0.906; PPLX 2^7.47 = 176.8
ITER  97: d0 = 0.652; d1 = 0.790; d2 = 0.888; PPLX 2^7.46 = 176.4
ITER  98: d0 = 0.702; d1 = 0.791; d2 = 0.887; PPLX 2^7.46 = 176.0
ITER  99: d0 = 0.687; d1 = 0.815; d2 = 0.901; PPLX 2^7.47 = 177.4
ITER 100: d0 = 0.666; d1 = 0.787; d2 = 0.905; PPLX 2^7.46 = 176.6
ITER 101: d0 = 0.706; d1 = 0.811; d2 = 0.896; PPLX 2^7.47 = 176.9
ITER 102: d0 = 0.687; d1 = 0.834; d2 = 0.905; PPLX 2^7.47 = 177.8
ITER 103: d0 = 0.686; d1 = 0.838; d2 = 0.902; PPLX 2^7.48 = 178.3
ITER 104: d0 = 0.643; d1 = 0.794; d2 = 0.899; PPLX 2^7.46 = 176.5
ITER 105: d0 = 0.713; d1 = 0.807; d2 = 0.880; PPLX 2^7.46 = 176.6
ITER 106: d0 = 0.653; d1 = 0.784; d2 = 0.879; PPLX 2^7.46 = 176.1
ITER 107: d0 = 0.746; d1 = 0.783; d2 = 0.885; PPLX 2^7.46 = 175.8
ITER 108: d0 = 0.713; d1 = 0.784; d2 = 0.903; PPLX 2^7.46 = 176.2
ITER 109: d0 = 0.692; d1 = 0.795; d2 = 0.902; PPLX 2^7.46 = 176.4
ITER 110: d0 = 0.641; d1 = 0.798; d2 = 0.890; PPLX 2^7.46 = 176.6
ITER 111: d0 = 0.635; d1 = 0.797; d2 = 0.886; PPLX 2^7.46 = 176.5
ITER 112: d0 = 0.762; d1 = 0.814; d2 = 0.878; PPLX 2^7.47 = 177.0
ITER 113: d0 = 0.641; d1 = 0.808; d2 = 0.886; PPLX 2^7.47 = 177.0
ITER 114: d0 = 0.765; d1 = 0.822; d2 = 0.889; PPLX 2^7.47 = 176.8
