17964 (out of 15920737) words in dict
14957666 training, 963071 testing
7196429 restaurants created
6032.09kB of test data
ITER  53: d0 = 0.269; d1 = 0.679; d2 = 0.768; d3 = 0.681; PPLX 2^6.79 = 111.0
ITER  54: d0 = 0.341; d1 = 0.683; d2 = 0.749; d3 = 0.662; PPLX 2^6.81 = 112.1
ITER  55: d0 = 0.435; d1 = 0.649; d2 = 0.759; d3 = 0.684; PPLX 2^6.80 = 111.2
ITER  56: d0 = 0.366; d1 = 0.679; d2 = 0.771; d3 = 0.678; PPLX 2^6.80 = 111.1
ITER  57: d0 = 0.522; d1 = 0.657; d2 = 0.744; d3 = 0.679; PPLX 2^6.80 = 111.7
ITER  58: d0 = 0.355; d1 = 0.681; d2 = 0.769; d3 = 0.666; PPLX 2^6.80 = 111.5
ITER  59: d0 = 0.520; d1 = 0.685; d2 = 0.767; d3 = 0.671; PPLX 2^6.80 = 111.3
ITER  60: d0 = 0.294; d1 = 0.663; d2 = 0.777; d3 = 0.682; PPLX 2^6.79 = 110.8
ITER  61: d0 = 0.526; d1 = 0.652; d2 = 0.767; d3 = 0.691; PPLX 2^6.79 = 110.7
ITER  62: d0 = 0.350; d1 = 0.695; d2 = 0.756; d3 = 0.681; PPLX 2^6.80 = 111.2
ITER  63: d0 = 0.280; d1 = 0.649; d2 = 0.766; d3 = 0.682; PPLX 2^6.80 = 111.1
ITER  64: d0 = 0.308; d1 = 0.659; d2 = 0.773; d3 = 0.655; PPLX 2^6.81 = 111.9
ITER  65: d0 = 0.371; d1 = 0.673; d2 = 0.770; d3 = 0.663; PPLX 2^6.80 = 111.6
ITER  66: d0 = 0.279; d1 = 0.667; d2 = 0.773; d3 = 0.683; PPLX 2^6.79 = 110.9
ITER  67: d0 = 0.385; d1 = 0.693; d2 = 0.758; d3 = 0.664; PPLX 2^6.80 = 111.8
ITER  68: d0 = 0.324; d1 = 0.687; d2 = 0.745; d3 = 0.680; PPLX 2^6.80 = 111.5
ITER  69: d0 = 0.496; d1 = 0.654; d2 = 0.761; d3 = 0.684; PPLX 2^6.80 = 111.1
ITER  70: d0 = 0.354; d1 = 0.682; d2 = 0.774; d3 = 0.669; PPLX 2^6.80 = 111.3
ITER  71: d0 = 0.319; d1 = 0.644; d2 = 0.757; d3 = 0.679; PPLX 2^6.80 = 111.4
ITER  72: d0 = 0.406; d1 = 0.672; d2 = 0.751; d3 = 0.679; PPLX 2^6.80 = 111.4
ITER  73: d0 = 0.412; d1 = 0.680; d2 = 0.744; d3 = 0.673; PPLX 2^6.80 = 111.8
ITER  74: d0 = 0.486; d1 = 0.670; d2 = 0.764; d3 = 0.672; PPLX 2^6.80 = 111.4
ITER  75: d0 = 0.289; d1 = 0.648; d2 = 0.760; d3 = 0.686; PPLX 2^6.79 = 111.0
ITER  76: d0 = 0.484; d1 = 0.674; d2 = 0.778; d3 = 0.666; PPLX 2^6.80 = 111.3
ITER  77: d0 = 0.268; d1 = 0.666; d2 = 0.761; d3 = 0.678; PPLX 2^6.80 = 111.3
ITER  78: d0 = 0.414; d1 = 0.674; d2 = 0.756; d3 = 0.670; PPLX 2^6.80 = 111.7
ITER  79: d0 = 0.274; d1 = 0.655; d2 = 0.768; d3 = 0.650; PPLX 2^6.81 = 112.2
ITER  80: d0 = 0.334; d1 = 0.655; d2 = 0.768; d3 = 0.678; PPLX 2^6.80 = 111.2
ITER  81: d0 = 0.336; d1 = 0.670; d2 = 0.759; d3 = 0.672; PPLX 2^6.80 = 111.5
ITER  82: d0 = 0.425; d1 = 0.658; d2 = 0.756; d3 = 0.665; PPLX 2^6.81 = 111.9
ITER  83: d0 = 0.274; d1 = 0.686; d2 = 0.768; d3 = 0.668; PPLX 2^6.80 = 111.5
ITER  84: d0 = 0.313; d1 = 0.672; d2 = 0.766; d3 = 0.662; PPLX 2^6.80 = 111.8
ITER  85: d0 = 0.287; d1 = 0.681; d2 = 0.760; d3 = 0.665; PPLX 2^6.80 = 111.7
ITER  86: d0 = 0.473; d1 = 0.665; d2 = 0.757; d3 = 0.683; PPLX 2^6.80 = 111.2
