58714 (out of 1561360) words in dict
1521826 training, 39534 testing
587155 restaurants created
204.452kB of test data
ITER  63: d0 = 0.653; d1 = 0.812; d2 = 0.901; PPLX 2^7.58 = 190.8
ITER  64: d0 = 0.711; d1 = 0.801; d2 = 0.912; PPLX 2^7.58 = 191.0
ITER  65: d0 = 0.735; d1 = 0.794; d2 = 0.901; PPLX 2^7.58 = 190.8
ITER  66: d0 = 0.722; d1 = 0.833; d2 = 0.919; PPLX 2^7.59 = 192.4
ITER  67: d0 = 0.665; d1 = 0.798; d2 = 0.910; PPLX 2^7.58 = 190.8
ITER  68: d0 = 0.728; d1 = 0.836; d2 = 0.902; PPLX 2^7.59 = 192.1
ITER  69: d0 = 0.712; d1 = 0.829; d2 = 0.906; PPLX 2^7.58 = 191.5
ITER  70: d0 = 0.651; d1 = 0.804; d2 = 0.900; PPLX 2^7.57 = 190.3
ITER  71: d0 = 0.732; d1 = 0.838; d2 = 0.907; PPLX 2^7.58 = 191.9
ITER  72: d0 = 0.645; d1 = 0.857; d2 = 0.899; PPLX 2^7.59 = 192.9
ITER  73: d0 = 0.666; d1 = 0.837; d2 = 0.891; PPLX 2^7.58 = 191.8
ITER  74: d0 = 0.663; d1 = 0.815; d2 = 0.913; PPLX 2^7.58 = 191.6
ITER  75: d0 = 0.691; d1 = 0.849; d2 = 0.905; PPLX 2^7.59 = 192.6
ITER  76: d0 = 0.646; d1 = 0.816; d2 = 0.906; PPLX 2^7.58 = 191.2
ITER  77: d0 = 0.750; d1 = 0.805; d2 = 0.899; PPLX 2^7.57 = 190.5
ITER  78: d0 = 0.677; d1 = 0.805; d2 = 0.895; PPLX 2^7.57 = 190.5
ITER  79: d0 = 0.643; d1 = 0.827; d2 = 0.904; PPLX 2^7.58 = 191.1
ITER  80: d0 = 0.659; d1 = 0.827; d2 = 0.899; PPLX 2^7.58 = 190.8
ITER  81: d0 = 0.745; d1 = 0.810; d2 = 0.911; PPLX 2^7.57 = 190.6
ITER  82: d0 = 0.670; d1 = 0.829; d2 = 0.895; PPLX 2^7.58 = 191.1
ITER  83: d0 = 0.658; d1 = 0.804; d2 = 0.905; PPLX 2^7.57 = 190.3
ITER  84: d0 = 0.664; d1 = 0.801; d2 = 0.909; PPLX 2^7.57 = 190.4
ITER  85: d0 = 0.714; d1 = 0.801; d2 = 0.899; PPLX 2^7.57 = 190.6
ITER  86: d0 = 0.678; d1 = 0.803; d2 = 0.900; PPLX 2^7.57 = 190.6
ITER  87: d0 = 0.656; d1 = 0.805; d2 = 0.904; PPLX 2^7.58 = 190.9
ITER  88: d0 = 0.712; d1 = 0.837; d2 = 0.891; PPLX 2^7.58 = 191.8
ITER  89: d0 = 0.760; d1 = 0.847; d2 = 0.903; PPLX 2^7.59 = 192.4
ITER  90: d0 = 0.660; d1 = 0.854; d2 = 0.898; PPLX 2^7.59 = 192.5
ITER  91: d0 = 0.669; d1 = 0.853; d2 = 0.894; PPLX 2^7.59 = 192.3
ITER  92: d0 = 0.675; d1 = 0.833; d2 = 0.897; PPLX 2^7.58 = 191.8
ITER  93: d0 = 0.659; d1 = 0.844; d2 = 0.897; PPLX 2^7.59 = 192.3
ITER  94: d0 = 0.704; d1 = 0.817; d2 = 0.908; PPLX 2^7.58 = 191.0
ITER  95: d0 = 0.718; d1 = 0.834; d2 = 0.911; PPLX 2^7.58 = 191.8
ITER  96: d0 = 0.738; d1 = 0.831; d2 = 0.907; PPLX 2^7.58 = 191.9
ITER  97: d0 = 0.673; d1 = 0.837; d2 = 0.901; PPLX 2^7.58 = 191.4
ITER  98: d0 = 0.738; d1 = 0.802; d2 = 0.910; PPLX 2^7.58 = 190.9
ITER  99: d0 = 0.678; d1 = 0.800; d2 = 0.907; PPLX 2^7.57 = 190.1
ITER 100: d0 = 0.721; d1 = 0.804; d2 = 0.908; PPLX 2^7.57 = 190.5
ITER 101: d0 = 0.667; d1 = 0.813; d2 = 0.910; PPLX 2^7.58 = 191.4
ITER 102: d0 = 0.644; d1 = 0.820; d2 = 0.911; PPLX 2^7.58 = 191.3
ITER 103: d0 = 0.666; d1 = 0.808; d2 = 0.901; PPLX 2^7.57 = 190.5
ITER 104: d0 = 0.768; d1 = 0.797; d2 = 0.908; PPLX 2^7.58 = 190.7
ITER 105: d0 = 0.642; d1 = 0.798; d2 = 0.908; PPLX 2^7.57 = 190.6
ITER 106: d0 = 0.705; d1 = 0.817; d2 = 0.905; PPLX 2^7.58 = 191.0
ITER 107: d0 = 0.644; d1 = 0.802; d2 = 0.905; PPLX 2^7.58 = 190.8
ITER 108: d0 = 0.659; d1 = 0.851; d2 = 0.893; PPLX 2^7.59 = 192.8
ITER 109: d0 = 0.685; d1 = 0.798; d2 = 0.891; PPLX 2^7.57 = 190.3
ITER 110: d0 = 0.678; d1 = 0.852; d2 = 0.896; PPLX 2^7.59 = 192.3
ITER 111: d0 = 0.756; d1 = 0.818; d2 = 0.891; PPLX 2^7.58 = 191.1
